	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
113	Тестировщик	75000	95000	RUR	Самара	2024-07-04	Фабрика информационных технологий	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103273351	85000.0
114	Бэкенд-разработчик	80000	170000	RUR	Владивосток	2024-07-16	Бизнес Центр Профи	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103977328	125000.0
115	Младший программист Python	80000	80000	RUR	Обнинск	2024-07-15	Базальт СПО	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91794963	80000.0
116	Junior/Junior+ С#/Unigine – разработчик	70000	140000	RUR	Москва	2024-07-10	МФТИ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103658711	105000.0
117	Python разработчик (ML)	100000	150000	RUR	Казань	2024-07-15	Эрэмэйч Рус	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103872256	125000.0
118	Разработчик Backend Python Developer Middle	180000	180000	RUR	Набережные Челны	2024-06-19	ТАТПАРТС	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102296649	180000.0
119	Unity developer	50000	50000	RUR	Воронеж	2024-07-11	Студиятехнологий - РВ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103681162	50000.0
120	Хемоинформатик	200000	250000	RUR	Москва	2024-06-21	Лаборатория Наносемантика	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102426018	225000.0
121	Разработчик Python	80000	115000	RUR	Самара	2024-07-01	СамараНИПИнефть	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103061156	97500.0
122	Python разработчик (Middle)	100000	180000	RUR	Ростов-на-Дону	2024-07-10	ФГАНУ НИИ Спецвузавтоматика	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103676518	140000.0
123	Python разработчик (Django)	73500	73500	RUR	Рязань	2024-07-14	Иторум	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103123216	73500.0
124	Python разработчик	60000	60000	RUR	Ульяновск	2024-07-14	ПДВ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103507464	60000.0
125	Инженер-программист	120000	120000	RUR	Москва	2024-07-15	ИНИТИ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103919367	120000.0
126	Программист-разработчик	300000	2000000	KZT	Алматы	2024-07-15	ТК Прогресс	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102436012	1150000.0
127	Frontend-разработчик	50000	70000	RUR	Санкт-Петербург	2024-07-15	Траектория	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102989954	60000.0
128	Python разработчик	80000	80000	RUR	Петрозаводск	2024-06-27	ПК Энергосбережение	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102871551	80000.0
129	Аналитик данных	220000	220000	RUR	Москва	2024-07-13	Российское общество Знание	Аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/101849714	220000.0
130	Web-программист	120000	150000	RUR	Санкт-Петербург	2024-06-27	Калкулэйт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102865802	135000.0
131	Инженер Linux / Junior Devops	100000	100000	RUR	Москва	2024-06-24	Southbridge	Системный инженер	От 1 года до 3 лет	https://hh.ru/vacancy/102570634	100000.0
132	Программист-разработчик	150000	300000	RUR	Москва	2024-07-11	МФТИ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/94898923	225000.0
133	Backend разработчик	120000	120000	RUR	Москва	2024-07-15	ФГАНУ Центр информационных технологий и систем органов исполнительной власти	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103921866	120000.0
134	Аналитик данных	160000	160000	RUR	Москва	2024-07-15	Аксон	BI-аналитик, аналитик данных	От 1 года до 3 лет	https://hh.ru/vacancy/103890677	160000.0
135	AI/ML/CV инженер (разработчик)	150000	150000	RUR	Москва	2024-07-08	Fizika XR	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103509102	150000.0
136	Python Backend Developer	1200	1700	EUR	Москва	2024-07-14	AbeloHost B.V.	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103117496	1450.0
137	Python developer	60000	130000	RUR	Уфа	2024-07-15	КОМТЕК	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102818859	95000.0
138	Инженер технической поддержки	900	1100	USD	Тбилиси	2024-07-15	TOOLS FOR BROKERS	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/103899751	1000.0
139	Web-разработчик	80000	170000	RUR	Владивосток	2024-07-03	Владлинк	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103176359	125000.0
